Ticker,announcement date,period end,estimate,report,surprise,% surprise
M,21-Nov-19,19-Oct,$0.01 ,$0.07 ,0.06,600
MRO,6-Nov-19,19-Sep,$0.04 ,$0.14 ,0.1,250
DRE,30-Oct-19,19-Sep,$0.37 ,$0.62 ,0.25,67.5
RE,28-Oct-19,19-Sep,$2.07 ,$3.39 ,1.32,63.7
HP,14-Nov-19,19-Sep,$0.24 ,$0.39 ,0.15,62.5
INTU,21-Nov-19,19-Oct,$0.26 ,$0.41 ,0.15,57.6
IT,31-Oct-19,19-Sep,$0.45 ,$0.70 ,0.25,55.5
GM,29-Oct-19,19-Sep,$1.18 ,$1.72 ,0.54,45.7
NFLX,16-Oct-19,19-Sep,$1.05 ,$1.47 ,0.42,40
ILMN,24-Oct-19,19-Sep,$1.40 ,$1.93 ,0.53,37.8
DVN,5-Nov-19,19-Sep,$0.19 ,$0.26 ,0.07,36.8
GRMN,30-Oct-19,19-Sep,$0.94 ,$1.27 ,0.33,35.1
F,23-Oct-19,19-Sep,$0.26 ,$0.34 ,0.08,30.7
NWL,1-Nov-19,19-Sep,$0.56 ,$0.73 ,0.17,30.3
KHC,31-Oct-19,19-Sep,$0.53 ,$0.69 ,0.16,30.1
ATVI,7-Nov-19,19-Sep,$0.25 ,$0.32 ,0.07,28
UAA,4-Nov-19,19-Sep,$0.18 ,$0.23 ,0.05,27.7
XRX,29-Oct-19,19-Sep,$0.85 ,$1.08 ,0.23,27
DOW,24-Oct-19,19-Sep,$0.72 ,$0.91 ,0.19,26.3
INCY,29-Oct-19,19-Sep,$0.65 ,$0.82 ,0.17,26.1
WDC,30-Oct-19,19-Sep,$0.27 ,$0.34 ,0.07,25.9
MPC,31-Oct-19,19-Sep,$1.30 ,$1.63 ,0.33,25.3
GE,30-Oct-19,19-Sep,$0.12 ,$0.15 ,0.03,25
JWN,21-Nov-19,19-Oct,$0.65 ,$0.81 ,0.16,24.6
DVA,5-Nov-19,19-Sep,$1.23 ,$1.53 ,0.3,24.3
CNP,7-Nov-19,19-Sep,$0.43 ,$0.53 ,0.1,23.2
NKTR,6-Nov-19,19-Sep,($0.73),($0.56),0.17,23.2
IVZ,23-Oct-19,19-Sep,$0.57 ,$0.70 ,0.13,22.8
CTXS,24-Oct-19,19-Sep,$1.24 ,$1.52 ,0.28,22.5
NLSN,7-Nov-19,19-Sep,$0.42 ,$0.51 ,0.09,21.4
NKE,24-Sep-19,19-Aug,$0.71 ,$0.86 ,0.15,21.1
MRK,29-Oct-19,19-Sep,$1.25 ,$1.51 ,0.26,20.8
LEN,2-Oct-19,19-Aug,$1.32 ,$1.59 ,0.27,20.4
AES,6-Nov-19,19-Sep,$0.40 ,$0.48 ,0.08,20
FTNT,31-Oct-19,19-Sep,$0.56 ,$0.67 ,0.11,19.6
PSX,25-Oct-19,19-Sep,$2.60 ,$3.11 ,0.51,19.6
TMUS,28-Oct-19,19-Sep,$0.97 ,$1.16 ,0.19,19.5
CMG,22-Oct-19,19-Sep,$3.20 ,$3.82 ,0.62,19.3
HIG,4-Nov-19,19-Sep,$1.26 ,$1.50 ,0.24,19
PFE,29-Oct-19,19-Sep,$0.63 ,$0.75 ,0.12,19
FOXA,6-Nov-19,19-Sep,$0.70 ,$0.83 ,0.13,18.5
CMS,24-Oct-19,19-Sep,$0.62 ,$0.73 ,0.11,17.7
FMC,29-Oct-19,19-Sep,$0.80 ,$0.94 ,0.14,17.5
SO,30-Oct-19,19-Sep,$1.14 ,$1.34 ,0.2,17.5
HFC,31-Oct-19,19-Sep,$1.43 ,$1.68 ,0.25,17.4
PYPL,23-Oct-19,19-Sep,$0.52 ,$0.61 ,0.09,17.3
QRVO,31-Oct-19,19-Sep,$1.30 ,$1.52 ,0.22,16.9
COTY,6-Nov-19,19-Sep,$0.06 ,$0.07 ,0.01,16.6
MU,26-Sep-19,19-Aug,$0.48 ,$0.56 ,0.08,16.6
CAH,7-Nov-19,19-Sep,$1.09 ,$1.27 ,0.18,16.5
CINF,24-Oct-19,19-Sep,$0.93 ,$1.08 ,0.15,16.1
NTAP,13-Nov-19,19-Oct,$0.94 ,$1.09 ,0.15,15.9
ISRG,17-Oct-19,19-Sep,$2.96 ,$3.43 ,0.47,15.8
NOC,24-Oct-19,19-Sep,$4.74 ,$5.49 ,0.75,15.8
COF,24-Oct-19,19-Sep,$2.87 ,$3.32 ,0.45,15.6
EW,23-Oct-19,19-Sep,$1.22 ,$1.41 ,0.19,15.5
